Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Aug 18 2021 15:44:28,48,1,2,3,1.48,0.975,0.976,0.976,4,1,0.0246,0.0235,0.0235,0.0011,0.0001,[.]：设置阅读点，下一次遇到这篇文章时，SuperMemo 会自动跳到阅读点（默认的阅读点是你最后一个进行摘录的位置）
Aug 20 2021 12:09:09,24,2,5,9,1.84,0.957,0.936,0.936,5,1,0.0432,0.0638,0.0638,-0.0207,-0.0022,[.]（在退出编辑模式情况下）：完成阅读并处理下一张待办卡片
Aug 20 2021 12:10:19,16,2,2,3,1.31,0.889,0.994,0.994,1,0,0.8887,0.9941,0.9939,-0.1053,-0.1982,对理解困难的文章估算所需的[.]间隔，并且使用 Ctrl+J 设置间隔。
Aug 20 2021 12:14:50,62,2,4,5,1.36,0.964,0.934,0.934,4,1,0.0357,0.0657,0.0657,-0.03,-0.003,Title: 处理难以理解的文章 : 解决增量阅读中复杂性： 从开头开始阅读文章。找到[.]后，对其进行分析，并诊断出理解问题的原因 如果本文的其余部分不太依赖困难片段，请将其摘录出来并继续阅读
Aug 20 2021 12:14:57,94,1,2,2,1.09,0.94,0.968,0.968,1,0,0.9401,0.9678,0.9678,-0.0277,-0.0528,[.]、恩格斯创建的第一个无产阶级政党是共产主义者同盟
Aug 20 2021 12:18:49,80,1,2,4,1.84,0.944,0.966,0.966,3,1,0.0562,0.0339,0.0339,0.0222,0.002,马克思、[.]创建的第一个无产阶级政党是共产主义者同盟
8月 22 2021 17:07:31,48,4,2,1,0.5,0.839,0.982,0.982,2,0,0.839,0.982,0.982,-0.1431,-0.2605,[.]：设置阅读点，下一次遇到这篇文章时，SuperMemo 会自动跳到阅读点
8月 22 2021 17:08:58,61,4,8,6,0.81,0.85,0.852,0.852,3,1,0.1505,0.1478,0.1478,0.0027,0.0008,阅读能理解困难的文章时，估算所需的时间间隔，并且使用 Ctrl+J 设置间隔。如果文章包含[.]优先级知识，应安排尽早复习。
8月 22 2021 17:09:37,46,4,2,4,1.91,0.759,0.85,0.85,2,0,0.7592,0.8497,0.8497,-0.0905,-0.1455,如果我们需要更多的知识来理解片段，请推迟文章（请使用快捷键 Ctrl+J [.]（作用））
8月 22 2021 17:09:43,136,2,6,5,0.83,0.94,0.915,0.915,5,1,0.0597,0.0846,0.0846,-0.0249,-0.0036,利物浦六贤旗上有哪些人？  [.]、 派斯利、费根、达格利什、贝尼特斯、克洛普
8月 22 2021 17:09:59,27,3,1,1,1,0.806,0.877,0.877,2,0,0.8064,0.8769,0.8769,-0.0705,-0.1187,马克思、恩格斯创建的第一个无产阶级政党是[.]
8月 22 2021 17:10:14,77,4,1,2,2.28,0.747,0.849,0.849,1,0,0.7467,0.8488,0.8488,-0.1021,-0.1629,[.]：忽略并删除卡片内容
8月 22 2021 17:10:17,171,2,7,5,0.73,0.862,0.915,0.915,5,1,0.1379,0.085,0.085,0.0529,0.0118,利物浦六贤旗上有哪些人？  香克利、 派斯利、费根、达格利什、贝尼特斯、[.]
8月 22 2021 17:10:30,162,2,4,3,0.85,0.86,0.914,0.914,3,1,0.1398,0.0858,0.0858,0.054,0.0122,turbulent adj. [.]
8月 22 2021 17:10:42,170,2,7,6,0.83,0.858,0.914,0.914,5,1,0.1416,0.0857,0.0857,0.0559,0.0127,利物浦六贤旗上有哪些人？  香克利、 派斯利、费根、达格利什、[.]、克洛普
8月 22 2021 17:11:00,89,3,8,6,0.78,0.793,0.881,0.881,4,1,0.207,0.1191,0.1191,0.0878,0.0286,Title: 【翻译】示范：我的渐进阅读工作流程 : 处理 第 1 次处理（[.]）  第 2 次处理 (可选：根据上下文修改，改变措辞等)  第 3 次处理（将重要的部分转化为问答 / 填空）。
8月 22 2021 17:11:11,93,3,8,7,0.94,0.807,0.88,0.88,4,1,0.1925,0.1202,0.1202,0.0723,0.0226,复习[.]属于被动复习。
